2025-12-19 16:48:20.996964: Alert #2, Risk: 84
2025-12-19 16:48:21.060945: Alert #2, Risk: 84
2025-12-19 16:48:21.125179: Alert #2, Risk: 100
2025-12-19 16:48:21.187448: Alert #2, Risk: 96
2025-12-19 16:48:21.250421: Alert #2, Risk: 92
2025-12-19 16:48:21.314952: Alert #2, Risk: 90
2025-12-19 16:48:21.389173: Alert #2, Risk: 90
2025-12-19 16:48:21.452637: Alert #2, Risk: 90
2025-12-19 16:48:21.517142: Alert #2, Risk: 90
2025-12-19 16:48:21.580742: Alert #2, Risk: 90
2025-12-19 16:48:21.643658: Alert #2, Risk: 90
2025-12-19 16:48:21.705093: Alert #2, Risk: 92
2025-12-19 16:48:21.768950: Alert #2, Risk: 94
2025-12-19 16:48:21.832327: Alert #2, Risk: 96
2025-12-19 16:48:21.894740: Alert #2, Risk: 96
2025-12-19 16:48:21.956518: Alert #2, Risk: 96
2025-12-19 16:48:22.020228: Alert #2, Risk: 86
2025-12-19 16:48:22.084445: Alert #2, Risk: 86
2025-12-19 16:48:22.147895: Alert #2, Risk: 88
2025-12-19 16:48:22.211062: Alert #2, Risk: 86
2025-12-19 16:48:22.275013: Alert #2, Risk: 88
2025-12-19 16:48:22.338269: Alert #2, Risk: 88
2025-12-19 16:48:22.402586: Alert #2, Risk: 88
2025-12-19 16:48:22.469793: Alert #2, Risk: 86
2025-12-19 16:48:22.536303: Alert #2, Risk: 88
2025-12-19 16:48:22.600043: Alert #2, Risk: 88
2025-12-19 16:48:22.664528: Alert #2, Risk: 88
2025-12-19 16:48:22.728342: Alert #2, Risk: 86
2025-12-19 16:48:22.793809: Alert #2, Risk: 86
2025-12-19 16:48:22.856734: Alert #2, Risk: 86
2025-12-19 16:48:22.920016: Alert #2, Risk: 86
2025-12-19 16:48:22.983190: Alert #2, Risk: 80
2025-12-19 16:48:23.048299: Alert #2, Risk: 80
2025-12-19 16:48:23.110657: Alert #2, Risk: 78
2025-12-19 16:48:23.173764: Alert #2, Risk: 90
2025-12-19 16:48:23.236875: Alert #2, Risk: 86
2025-12-19 16:48:23.301499: Alert #2, Risk: 88
2025-12-19 16:48:23.365508: Alert #2, Risk: 82
2025-12-19 16:48:23.429951: Alert #2, Risk: 82
2025-12-19 17:53:10.439066: Alert #0, Risk: 90
2025-12-19 17:53:10.509132: Alert #1, Risk: 88
2025-12-19 17:53:10.574416: Alert #1, Risk: 88
2025-12-19 17:53:10.639870: Alert #1, Risk: 90
2025-12-19 17:53:10.701320: Alert #1, Risk: 90
2025-12-19 17:53:10.766220: Alert #1, Risk: 90
2025-12-19 17:53:10.829892: Alert #1, Risk: 90
2025-12-19 17:53:10.893648: Alert #1, Risk: 90
2025-12-19 17:53:10.957534: Alert #1, Risk: 90
2025-12-19 17:53:11.020990: Alert #1, Risk: 90
2025-12-19 17:53:11.084930: Alert #1, Risk: 90
2025-12-19 17:53:11.148901: Alert #1, Risk: 90
2025-12-19 17:53:11.213326: Alert #1, Risk: 90
2025-12-19 17:53:11.277564: Alert #1, Risk: 90
2025-12-19 17:53:11.342104: Alert #1, Risk: 90
2025-12-19 17:53:11.404545: Alert #1, Risk: 90
2025-12-19 17:53:11.469410: Alert #1, Risk: 90
2025-12-19 17:53:11.535002: Alert #1, Risk: 90
2025-12-19 17:53:11.600018: Alert #1, Risk: 90
2025-12-19 17:53:11.663908: Alert #1, Risk: 90
2025-12-19 17:53:11.729222: Alert #1, Risk: 90
2025-12-19 17:53:11.793249: Alert #1, Risk: 92
2025-12-19 17:53:11.857269: Alert #1, Risk: 92
2025-12-19 17:53:11.921665: Alert #1, Risk: 86
2025-12-19 17:53:11.986577: Alert #1, Risk: 76
2025-12-19 17:53:12.050289: Alert #1, Risk: 76
2025-12-19 17:53:12.114026: Alert #1, Risk: 76
2025-12-19 17:53:12.181946: Alert #1, Risk: 76
2025-12-19 17:53:14.045125: Alert #1, Risk: 76
2025-12-19 17:53:14.111174: Alert #2, Risk: 84
2025-12-19 17:53:14.174687: Alert #2, Risk: 94
2025-12-19 17:53:14.238523: Alert #2, Risk: 92
2025-12-19 17:53:14.303187: Alert #2, Risk: 92
2025-12-19 17:53:14.366362: Alert #2, Risk: 92
2025-12-19 17:53:14.429665: Alert #2, Risk: 90
2025-12-19 17:53:14.492945: Alert #2, Risk: 92
2025-12-19 17:53:14.557128: Alert #2, Risk: 90
2025-12-19 17:53:14.621056: Alert #2, Risk: 90
2025-12-19 17:53:14.685262: Alert #2, Risk: 90
2025-12-19 17:53:14.748986: Alert #2, Risk: 92
2025-12-19 17:53:14.812706: Alert #2, Risk: 92
2025-12-19 17:53:14.876083: Alert #2, Risk: 92
2025-12-19 17:53:14.940416: Alert #2, Risk: 90
2025-12-19 17:53:15.004636: Alert #2, Risk: 90
2025-12-19 17:53:15.067970: Alert #2, Risk: 90
2025-12-19 17:53:15.132333: Alert #2, Risk: 90
2025-12-19 17:53:15.196266: Alert #2, Risk: 92
2025-12-19 17:53:15.260242: Alert #2, Risk: 90
2025-12-19 17:53:15.324778: Alert #2, Risk: 90
2025-12-19 17:53:15.388905: Alert #2, Risk: 90
2025-12-19 17:53:15.453147: Alert #2, Risk: 90
2025-12-19 17:53:15.519271: Alert #2, Risk: 90
2025-12-19 17:53:15.581724: Alert #2, Risk: 90
2025-12-19 17:53:15.647308: Alert #2, Risk: 92
2025-12-19 17:53:15.712522: Alert #2, Risk: 92
2025-12-19 17:53:15.776874: Alert #2, Risk: 88
2025-12-19 17:53:15.840425: Alert #2, Risk: 88
2025-12-19 17:53:15.903824: Alert #2, Risk: 88
2025-12-19 17:53:15.966516: Alert #2, Risk: 88
2025-12-19 17:53:16.030543: Alert #2, Risk: 88
2025-12-19 17:53:16.093857: Alert #2, Risk: 88
2025-12-19 17:53:16.158364: Alert #2, Risk: 88
2025-12-19 17:53:16.222001: Alert #2, Risk: 88
2025-12-19 17:53:16.286006: Alert #2, Risk: 88
2025-12-19 17:53:16.351152: Alert #2, Risk: 88
2025-12-19 17:53:16.413543: Alert #2, Risk: 88
2025-12-19 17:53:16.477908: Alert #2, Risk: 88
2025-12-19 17:53:16.541050: Alert #2, Risk: 88
2025-12-19 17:53:16.605487: Alert #2, Risk: 88
2025-12-19 17:53:16.669093: Alert #2, Risk: 86
2025-12-19 17:53:16.731991: Alert #2, Risk: 86
2025-12-19 17:53:16.795745: Alert #2, Risk: 86
2025-12-19 17:53:16.860653: Alert #2, Risk: 86
2025-12-19 17:53:16.924965: Alert #2, Risk: 88
2025-12-19 17:53:16.987970: Alert #2, Risk: 88
2025-12-19 17:53:17.052271: Alert #2, Risk: 88
2025-12-19 17:53:17.116845: Alert #2, Risk: 90
2025-12-19 17:53:17.181020: Alert #2, Risk: 90
2025-12-19 17:53:17.244053: Alert #2, Risk: 90
2025-12-19 17:53:17.309076: Alert #2, Risk: 92
2025-12-19 17:53:17.373025: Alert #2, Risk: 88
2025-12-19 17:53:17.437434: Alert #2, Risk: 92
2025-12-19 17:53:17.501488: Alert #2, Risk: 92
2025-12-19 17:53:17.566048: Alert #2, Risk: 94
2025-12-19 17:53:17.629144: Alert #2, Risk: 94
2025-12-19 17:53:17.693678: Alert #2, Risk: 94
2025-12-19 17:53:17.757978: Alert #2, Risk: 96
2025-12-19 17:53:17.821592: Alert #2, Risk: 96
2025-12-19 17:53:17.885803: Alert #2, Risk: 96
2025-12-19 17:53:17.949812: Alert #2, Risk: 94
2025-12-19 17:53:18.014037: Alert #2, Risk: 94
2025-12-19 17:53:18.079710: Alert #2, Risk: 92
2025-12-19 17:53:18.143433: Alert #2, Risk: 96
2025-12-19 17:53:18.208067: Alert #2, Risk: 96
2025-12-19 17:53:18.271996: Alert #2, Risk: 96
2025-12-19 17:53:18.336107: Alert #2, Risk: 96
2025-12-19 17:53:18.399185: Alert #2, Risk: 94
2025-12-19 17:53:18.464677: Alert #2, Risk: 94
2025-12-19 17:53:18.529142: Alert #2, Risk: 90
2025-12-19 17:53:18.599002: Alert #2, Risk: 90
2025-12-19 17:53:18.663529: Alert #2, Risk: 90
2025-12-19 17:53:18.728156: Alert #2, Risk: 90
2025-12-19 17:53:18.792574: Alert #2, Risk: 90
2025-12-19 17:53:18.856374: Alert #2, Risk: 90
2025-12-19 17:53:18.919662: Alert #2, Risk: 90
2025-12-19 17:53:18.982472: Alert #2, Risk: 96
